iter	Logloss
0	0.6827574502
1	0.672848912
2	0.6629734405
3	0.6552534099
4	0.6470002815
5	0.639499448
6	0.6325292171
7	0.6253175469
8	0.6184640189
9	0.6112933052
10	0.6054151828
11	0.6002802001
12	0.5949670664
13	0.5898018264
14	0.5863087584
15	0.5812603245
16	0.5763494353
17	0.5716522995
18	0.5674415112
19	0.5634924697
20	0.5602094436
21	0.5574727231
22	0.5535406638
23	0.5510700434
24	0.5486017523
25	0.5453120572
26	0.5419584995
27	0.5393735728
28	0.5372107494
29	0.5338915689
30	0.5314527093
31	0.529615446
32	0.5272982978
33	0.5256195196
34	0.5236946483
35	0.5219590356
36	0.5200644979
37	0.5176438052
38	0.5157248894
39	0.5139628699
40	0.5121705348
41	0.5105506242
42	0.5084480282
43	0.5068223866
44	0.5056298257
45	0.5042715543
46	0.5025808877
47	0.50117548
48	0.4999704204
49	0.4984539869
50	0.4970849221
51	0.4957517289
52	0.4942866682
53	0.4932602533
54	0.4918493748
55	0.4902997086
56	0.4888328124
57	0.4877273344
58	0.4868411749
59	0.4855792223
60	0.4845286671
61	0.4834722462
62	0.4827783072
63	0.4819720499
64	0.4810901089
65	0.4798072115
66	0.478582836
67	0.4776604098
68	0.476824169
69	0.4756054303
70	0.4744311082
71	0.4736257216
72	0.4726968643
73	0.4716435625
74	0.4706970768
75	0.4699952346
76	0.4690518006
77	0.4683452866
78	0.4675758883
79	0.4669178254
80	0.4658588105
81	0.4650758723
82	0.4643893293
83	0.4637134046
84	0.4630580255
85	0.4622941697
86	0.4615533682
87	0.4608007636
88	0.4601118959
89	0.4592221774
90	0.4585708688
91	0.4580839828
92	0.4573185473
93	0.4565671454
94	0.4560575462
95	0.4556984257
96	0.4550990644
97	0.4544960544
98	0.4540882
99	0.453479818
100	0.4529546907
101	0.4525097933
102	0.4521191096
103	0.4515504498
104	0.4508327385
105	0.4503331652
106	0.4499840483
107	0.449245576
108	0.4487078512
109	0.4481643057
110	0.4476116587
111	0.4471295388
112	0.4464536725
113	0.4460639357
114	0.4454963396
115	0.4450547318
116	0.4444538894
117	0.443871039
118	0.4434283497
119	0.4429910189
120	0.4426286223
121	0.4423234013
122	0.4419535279
123	0.441604743
124	0.4412567974
125	0.4407642297
126	0.4403646958
127	0.439939222
128	0.4396601475
129	0.4391448262
130	0.4388400495
131	0.4385042122
132	0.43820632
133	0.4377211214
134	0.4374036126
135	0.4369749299
136	0.4366265894
137	0.4362843523
138	0.4358827361
139	0.4354687827
140	0.43501955
141	0.4346536349
142	0.434219688
143	0.4336259813
144	0.4333879126
145	0.4328401753
146	0.4323399469
147	0.4319722366
148	0.4314495283
149	0.4310951336
150	0.430712721
151	0.4303968907
152	0.4300873972
153	0.4296856643
154	0.4292491054
155	0.4288443432
156	0.4284361253
